DeploymentID	Location	Demand	DwellBeforeDeploy	BogBudget	CycleTime	DeployInterval	DeployDate	FillType	FillCount	UnitType	DemandType	DemandGroup	Unit	Policy	AtomicPolicy	Component	Period	FillPath	PathLength	FollowOn	FollowOnCount	DeploymentCount
201	Ready_Deployable	2_R2_SRC3_[1...2521]	182	270	182	678	11/23/2014	Primary	781	SRC3	SRC3	UnGrouped	271_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
202	Ready_Deployable	1__SRC1_[595...963]	182	270	182	678	11/23/2014	Substitute	782	SRC3	SRC1	XL	269_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC1->SRC1->Sub_SRC1_SRC3->SOURCE_SRC3->Filled	1	FALSE	0	1
203	OS_Deployable	1__SRC1_[595...963]	1223	270	1223	692	12/7/2014	Substitute	783	SRC3	SRC1	XL	60_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC1->SRC1->Sub_SRC1_SRC3->SOURCE_SRC3->Filled	1	FALSE	0	1
204	Ready_Deployable	1__SRC1_[595...963]	196	270	196	692	12/7/2014	Substitute	784	SRC3	SRC1	XL	272_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC1->SRC1->Sub_SRC1_SRC3->SOURCE_SRC3->Filled	1	FALSE	0	1
205	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	694	12/9/2014	Primary	785	SRC3	SRC3	Large	59_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
206	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	703	12/18/2014	Primary	786	SRC3	SRC3	Large	58_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
207	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	712	12/27/2014	Primary	787	SRC3	SRC3	Large	57_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
208	OS_Deployable	1_R21_SRC3_[595...963]	1216	270	1216	721	1/5/2015	Primary	788	SRC3	SRC3	Large	56_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
209	OS_Deployable	1_R21_SRC3_[595...963]	1270	225	1315	721	1/5/2015	Primary	789	SRC3	SRC3	Large	67_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	2
210	OS_Deployable	1_R21_SRC3_[595...963]	1234	225	1279	721	1/5/2015	Primary	790	SRC3	SRC3	Large	63_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	2
