rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
8436011436776032633	63426K000	phase-1	0	0	6132	0	0	156	6132	292	0	231	0	0	635	292	0	7154	2	0	49
8719562077786624187	63426K000	comp	670	0	5209	60	0	810	12315	0	0	0	912	0	33389	1642	0	39408	2	0	48
8719562077786624187	63426K000	phase-1	0	0	6132	0	0	60	6132	292	0	130	0	0	686	292	0	7008	2	0	48
8651938460229599588	63426K000	comp	142	0	6537	60	0	840	12315	0	0	78	1440	0	31132	1642	0	38587	2	0	47
8651938460229599588	63426K000	phase-1	175	0	5952	0	0	155	6132	117	0	143	0	0	612	292	0	6862	2	0	47
-3185338829648084755	63426K000	comp	618	0	6445	60	0	788	12315	0	0	0	964	0	30533	1642	0	37766	2	0	46
-3185338829648084755	63426K000	phase-1	292	0	5762	0	0	97	6132	0	0	112	0	0	745	292	0	6716	2	0	46
2786040548068544931	63426K000	comp	670	0	6673	51	0	862	12315	0	0	0	921	0	29410	1642	0	36945	2	0	45
2786040548068544931	63426K000	phase-1	292	0	5543	0	0	90	6132	0	0	28	0	0	909	292	0	6570	2	0	45
-3064627001040919599	63426K000	comp	670	0	4470	60	0	570	12315	0	0	0	912	0	31084	1642	0	36124	2	0	44
-3064627001040919599	63426K000	phase-1	288	0	5844	0	0	60	6132	4	0	218	0	0	302	292	0	6424	2	0	44
8491153766255516575	63426K000	comp	495	0	5359	0	0	720	12315	0	0	0	1147	0	29224	1642	0	35303	2	0	43
8491153766255516575	63426K000	phase-1	251	0	5504	41	0	150	6132	0	0	0	0	0	624	292	0	6278	2	0	43
5175639579568511616	63426K000	comp	399	0	5119	30	0	750	12315	0	0	0	1213	0	28613	1642	0	34482	2	0	42
5175639579568511616	63426K000	phase-1	292	0	5248	0	0	133	6132	0	0	0	0	0	751	292	0	6132	2	0	42
3614901514407423006	63426K000	comp	670	0	4077	60	0	581	12315	0	0	0	912	0	29003	1642	0	33661	2	0	41
3614901514407423006	63426K000	phase-1	292	0	5529	0	0	30	6132	0	0	0	0	0	427	292	0	5986	2	0	41
3307011078434949678	63426K000	comp	532	0	4897	30	0	746	12315	0	0	0	1080	0	27197	1642	0	32840	2	0	40
3307011078434949678	63426K000	phase-1	284	0	5368	8	0	90	6132	0	0	0	0	0	382	292	0	5840	2	0	40
-2477641376863858799	63426K000	comp	252	0	3039	30	0	420	12315	0	0	0	1360	0	28560	1642	0	32019	2	0	39
-2477641376863858799	63426K000	phase-1	292	0	5421	0	0	90	6132	0	0	0	0	0	183	292	0	5694	2	0	39
8976013293400652448	63426K000	comp	494	0	2620	60	0	480	12315	0	0	0	1088	0	28098	1642	0	31198	2	0	38
8976013293400652448	63426K000	phase-1	292	0	5529	0	0	0	6132	0	0	0	0	0	19	292	0	5548	2	0	38
7765557456844232617	63426K000	comp	454	0	5057	30	0	688	12315	0	0	0	1158	0	24632	1642	0	30377	2	0	37
7765557456844232617	63426K000	phase-1	292	0	4489	0	0	0	6132	0	0	0	0	0	913	292	0	5402	2	0	37
-6772356965118744613	63426K000	comp	335	0	5461	30	0	706	12315	0	0	0	456	0	37346	821	0	43513	1	0	53
-6772356965118744613	63426K000	phase-1	0	0	6132	0	0	90	6132	146	0	692	0	0	824	146	0	7738	1	0	53
-5536630875295603153	63426K000	comp	148	0	6847	30	0	930	12315	0	0	0	643	0	34915	821	0	42692	1	0	52
-5536630875295603153	63426K000	phase-1	0	0	6132	0	0	79	6132	146	0	537	0	0	844	146	0	7592	1	0	52
5816783378753256221	63426K000	comp	335	0	5040	30	0	690	12315	0	0	0	456	0	36141	821	0	41871	1	0	51
5816783378753256221	63426K000	phase-1	0	0	6132	0	0	150	6132	146	0	694	0	0	470	146	0	7446	1	0	51
-7902210446970826476	63426K000	comp	335	0	5664	30	0	755	12315	0	0	0	456	0	34631	821	0	41050	1	0	50
-7902210446970826476	63426K000	phase-1	146	0	5742	0	0	100	6132	0	0	28	0	0	1430	146	0	7300	1	0	50
6843968935032545040	63426K000	comp	335	0	6147	30	0	880	12315	0	0	0	456	0	33202	821	0	40229	1	0	49
6843968935032545040	63426K000	phase-1	0	0	6132	0	0	90	6132	146	0	477	0	0	455	146	0	7154	1	0	49
-2364603267878439993	63426K000	comp	195	0	4928	0	0	742	12315	0	0	0	626	0	33738	821	0	39408	1	0	48
-2364603267878439993	63426K000	phase-1	140	0	5945	6	0	40	6132	0	0	93	0	0	930	146	0	7008	1	0	48
